BeneficiaryID,Name,Age,Gender,City,Program,Year,Month,Income_Group,Donation_Received,Volunteers,Outcome
272,Beneficiary_272,20,Male,Kanpur,Food Distribution,2021,Nov,Middle Income,9542,3,Needs Follow-up
273,Beneficiary_273,37,Male,Varanasi,Health,2021,Jul,Middle Income,1888,9,Successful
274,Beneficiary_274,13,Female,Varanasi,Education,2021,Feb,Middle Income,5950,14,Needs Follow-up
275,Beneficiary_275,10,Female,Lucknow,Clothing,2023,Apr,Below Poverty Line,4212,19,Ongoing
276,Beneficiary_276,20,Female,Varanasi,Education,2023,Jul,Low Income,1867,7,Needs Follow-up
277,Beneficiary_277,33,Female,Varanasi,Food Distribution,2022,Mar,Below Poverty Line,8689,16,Ongoing
278,Beneficiary_278,7,Female,Varanasi,Food Distribution,2022,Feb,Below Poverty Line,9513,16,Successful
279,Beneficiary_279,24,Male,Varanasi,Food Distribution,2024,Nov,Middle Income,954,1,Ongoing
280,Beneficiary_280,40,Female,Ghaziabad,Clothing,2022,Oct,Below Poverty Line,3272,4,Ongoing
281,Beneficiary_281,23,Male,Ghaziabad,Health,2021,Jul,Middle Income,4226,4,Ongoing
282,Beneficiary_282,30,Male,Lucknow,Clothing,2021,Jan,Low Income,7732,7,Successful
283,Beneficiary_283,7,Male,Kanpur,Education,2023,Aug,Middle Income,5306,8,Needs Follow-up
284,Beneficiary_284,23,Female,Varanasi,Clothing,2021,Mar,Below Poverty Line,2690,17,Needs Follow-up
285,Beneficiary_285,24,Male,Kanpur,Education,2024,Dec,Below Poverty Line,9608,5,Successful
286,Beneficiary_286,36,Male,Kanpur,Clothing,2021,Dec,Middle Income,3375,7,Ongoing
287,Beneficiary_287,11,Female,Lucknow,Health,2021,Feb,Middle Income,6092,4,Needs Follow-up
288,Beneficiary_288,56,Male,Varanasi,Education,2024,Mar,Below Poverty Line,1940,6,Successful
289,Beneficiary_289,45,Male,Varanasi,Food Distribution,2022,May,Low Income,9427,7,Needs Follow-up
290,Beneficiary_290,37,Female,Agra,Food Distribution,2022,Nov,Low Income,6559,18,Successful
291,Beneficiary_291,44,Male,Kanpur,Clothing,2024,Aug,Middle Income,7510,5,Ongoing
292,Beneficiary_292,43,Male,Kanpur,Food Distribution,2023,Oct,Low Income,7617,3,Needs Follow-up
293,Beneficiary_293,22,Male,Ghaziabad,Education,2021,Jul,Below Poverty Line,9653,7,Successful
294,Beneficiary_294,44,Female,Agra,Food Distribution,2024,Jul,Middle Income,3489,14,Needs Follow-up
295,Beneficiary_295,5,Female,Ghaziabad,Health,2021,Dec,Below Poverty Line,9718,7,Needs Follow-up
296,Beneficiary_296,15,Female,Ghaziabad,Health,2023,Jul,Below Poverty Line,6728,5,Needs Follow-up
297,Beneficiary_297,32,Male,Ghaziabad,Clothing,2021,Aug,Low Income,6971,5,Needs Follow-up
298,Beneficiary_298,29,Male,Lucknow,Education,2024,Jan,Middle Income,3363,2,Successful
299,Beneficiary_299,54,Female,Lucknow,Health,2021,Apr,Middle Income,1677,6,Ongoing
300,Beneficiary_300,27,Male,Ghaziabad,Health,2022,Jun,Low Income,5260,15,Successful
